Party,Parent Category,Category,Gas,Unit,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1.A.1 Energy Industries,1.A.1.a Public Electricity and Heat Production,CO₂,kt,129097,129097,131266,134116,135024,136597,142197,147213,152193,164724,170956,174648,181826,183036,185522,193872,195667,200200,202967,204798,210254,203739,197146,197717,185720,179409,187753,193307,188411,182346,178257
Australia,1.A.1 Energy Industries,1.A.1.a Public Electricity and Heat Production,N₂O,kt,1.50893,1.50893,1.42373,1.44496,1.50255,1.50464,1.56701,1.60599,1.77909,1.98347,1.95443,2.06848,2.3616,2.70278,3.00351,3.05982,3.19676,3.21328,3.34543,3.32369,3.51689,3.35592,3.71877,3.58876,3.50496,3.30671,2.59177,2.60194,2.52654,2.24027,2.15622
Australia,1.A.1 Energy Industries,1.A.1.b Petroleum Refining,Aggregate GHGs,kt CO₂ equivalent,5527.15,5527.15,5757.17,5653.4,6006.73,6216.43,6350.69,6192.96,5818.48,5951.5,6801.17,6169.14,6281.56,6207.89,6062.49,5536.6,5479.09,4921.16,5334.58,5124.94,5198.78,5291.62,5691.18,5148.47,4905.27,4587.77,3857.73,2954.87,2985.92,3078.61,3005.25
Australia,1.A.1 Energy Industries,1.A.1.b Petroleum Refining,CH₄,kt,0.0619838,0.0619838,0.0639748,0.0631189,0.0668186,0.0688038,0.0696181,0.0691179,0.0658063,0.0655016,0.0766208,0.0721946,0.0745147,0.0742088,0.0731217,0.0679727,0.0680011,0.0625661,0.0662742,0.0637403,0.0818992,0.0810165,0.087383,0.0837111,0.080905,0.0742918,0.0636043,0.0463787,0.051152,0.050168,0.047755
Australia,1.A.1 Energy Industries,1.A.1.b Petroleum Refining,CO₂,kt,5512.07,5512.07,5741.48,5637.98,5990.36,6199.49,6333.4,6176.07,5802.59,5935.29,6782.6,6152.23,6264.27,6190.79,6045.75,5521.27,5463.88,4907.45,5319.77,5110.71,5191.89,5285.29,5684.3,5141.38,4899.39,4582.6,3853.21,2951.89,2982.32,3075.2,3002.04
Australia,1.A.1 Energy Industries,1.A.1.b Petroleum Refining,N₂O,kt,0.0454091,0.0454091,0.0472975,0.0464457,0.0493479,0.0510699,0.0521714,0.0508783,0.0478038,0.0488926,0.0558767,0.0506901,0.0517877,0.0511727,0.0500281,0.0457438,0.0453317,0.0407439,0.0441373,0.0424323,0.0162479,0.0144461,0.0157587,0.0167555,0.0129318,0.0110958,0.00983492,0.00608827,0.00778687,0.007237,0.00676406
Australia,1.A.1 Energy Industries,1.A.1.c Manufacture of Solid Fuels and Other Energy Industries,Aggregate GHGs,kt CO₂ equivalent,8103.19,8103.19,8952.09,9523.48,10018.7,9049.7,9128.24,8859.99,10878.9,10763.1,10857.4,10662,10540,11467.5,12530.7,13782.4,14370.1,14874.7,14713.6,14880.7,15634.4,16272.5,16523.5,18205.9,19519.3,19920.5,19195.4,21724.9,25671.6,27885.3,31358
Australia,1.A.1 Energy Industries,1.A.1.c Manufacture of Solid Fuels and Other Energy Industries,CH₄,kt,4.6999,4.6999,4.56287,4.54135,4.92152,4.66418,4.98057,5.18181,5.44431,5.70581,5.78567,5.49002,5.55279,6.90728,5.97623,6.41566,6.55342,6.39151,6.45625,7.45787,6.9194,8.94117,8.25232,8.51995,9.18404,10.0493,10.4863,10.2113,10.1185,13.1177,13.3882
Australia,1.A.1 Energy Industries,1.A.1.c Manufacture of Solid Fuels and Other Energy Industries,CO₂,kt,7942.01,7942.01,8790.92,9360.28,9842.36,8881.94,8950.53,8676.51,10680.7,10555.1,10647.3,10458.1,10334.6,11223.8,12288.4,13518,14089,14598.3,14441.4,14581.9,15341.8,15924.4,16183.2,17840,19118.9,19493.9,18764.7,21288.7,25212.2,27330.7,30771.7
Australia,1.A.1 Energy Industries,1.A.1.c Manufacture of Solid Fuels and Other Energy Industries,N₂O,kt,0.146586,0.146586,0.158043,0.166693,0.178799,0.171682,0.178489,0.18098,0.208347,0.219159,0.219824,0.22347,0.223428,0.238227,0.311641,0.34915,0.393584,0.39106,0.371656,0.37719,0.401313,0.417707,0.449613,0.513203,0.573072,0.588429,0.565473,0.606965,0.6929,0.7605,0.84439
Australia,1.A.1 Energy Industries,1.A.1.c.i Manufacture of Solid Fuels,Aggregate GHGs,kt CO₂ equivalent,2470.54,2470.54,3088.78,3360.47,3098.8,2014.88,1558.32,817.179,2295.45,1492.91,1638.32,1123.97,863.389,1026.56,1666.53,1771.28,1313.99,1676.95,1960.49,1959.28,1834.74,2321.71,1667.59,2206.24,1841.84,1527.97,1048.28,1037.24,1259.09,719.597,604.698
Australia,1.A.1 Energy Industries,1.A.1.c.i Manufacture of Solid Fuels,CH₄,kt,0.0291097,0.0291097,0.0354273,0.0383859,0.0357143,0.024613,0.0199623,0.0121067,0.0276393,0.0193767,0.0208212,0.0151445,0.0121036,0.0139784,0.0207413,0.0217613,0.017237,0.0205934,0.0234948,0.0233921,0.0193555,0.0248824,0.0185654,0.0239816,0.0208743,0.0174669,0.0124046,0.0123072,0.0147494,0.00891276,0.00760017
Australia,1.A.1 Energy Industries,1.A.1.c.i Manufacture of Solid Fuels,CO₂,kt,2463,2463,3079.43,3350.41,3089.4,2008.66,1553.42,814.537,2288.46,1488.22,1633.19,1120.42,860.648,1023.36,1661.46,1766.08,1309.96,1671.77,1954.48,1953.33,1829.33,2314.81,1662.54,2199.64,1836.22,1523.31,1045,1033.99,1255.17,717.286,602.74
Australia,1.A.1 Energy Industries,1.A.1.c.i Manufacture of Solid Fuels,N₂O,kt,0.0228565,0.0228565,0.028378,0.0305548,0.028535,0.0188165,0.0147642,0.00784924,0.0211356,0.0140996,0.0154699,0.0106365,0.00818165,0.00956088,0.0152791,0.0156445,0.0120906,0.0156442,0.0181804,0.0180081,0.0165171,0.0210633,0.0153992,0.0201094,0.0170969,0.0142018,0.00997563,0.00988529,0.0119245,0.00700597,0.00593097
Australia,1.A.1 Energy Industries,1.A.1.c.ii Oil and Gas Extraction,Aggregate GHGs,kt CO₂ equivalent,4324.88,4324.88,4531.79,4817.96,5472.81,5595.2,6158.3,6542.71,6981.41,7460.59,7267.1,7513.97,7612.03,8264.75,6766.6,7410.43,7668.31,8298.37,8177.75,8234.47,8754.99,8749.98,8950.72,8948.83,9835.84,10503.6,10706.8,12826.7,16220.6,18234,21153.4
Australia,1.A.1 Energy Industries,1.A.1.c.ii Oil and Gas Extraction,CH₄,kt,4.59865,4.59865,4.45415,4.42926,4.80601,4.56051,4.88426,5.08814,5.33054,5.58941,5.65842,5.36507,5.42824,6.77399,5.73888,6.15059,6.25258,6.11181,6.19234,7.18835,6.63555,8.6416,7.92278,8.1261,8.75042,9.61469,10.0782,9.79223,9.68414,12.6513,12.8897
Australia,1.A.1 Energy Industries,1.A.1.c.ii Oil and Gas Extraction,CO₂,kt,4188.31,4188.31,4397.65,4683.1,5325.24,5453.11,6005.28,6382.66,6813.06,7283.35,7089.1,7342.03,7438.03,8054.01,6590.28,7219.85,7472.35,8100.26,7980.93,8012.7,8544.87,8489.22,8707.44,8700.52,9564.93,10208.1,10399.6,12517.5,15896.5,17824.5,20722.6
Australia,1.A.1 Energy Industries,1.A.1.c.ii Oil and Gas Extraction,N₂O,kt,0.0724904,0.0724904,0.076436,0.0809695,0.0920209,0.0942151,0.103741,0.110236,0.117759,0.12584,0.122633,0.126884,0.128485,0.138895,0.110245,0.123537,0.133008,0.152051,0.140988,0.141122,0.148443,0.150052,0.151726,0.151552,0.17499,0.185174,0.185439,0.216303,0.275064,0.31275,0.364356
Australia,1.A.1 Energy Industries,1.A.1.c.iii Other Energy Industries,Aggregate GHGs,kt CO₂ equivalent,1307.77,1307.77,1331.52,1345.05,1447.07,1439.62,1411.62,1500.1,1602.05,1809.55,1952,2024.05,2064.62,2176.21,4097.59,4600.7,5387.81,4899.34,4575.32,4686.98,5044.68,5200.77,5905.14,7050.86,7841.61,7888.88,7440.28,7860.89,8191.97,8931.68,9599.94
Australia,1.A.1 Energy Industries,1.A.1.c.iii Other Energy Industries,CH₄,kt,0.0721433,0.0721433,0.0732921,0.0736979,0.0797983,0.0790548,0.0763524,0.0815598,0.0861282,0.097031,0.106436,0.109801,0.112438,0.119315,0.216609,0.243303,0.283605,0.259109,0.240419,0.246133,0.2645,0.274697,0.310975,0.36987,0.412746,0.417101,0.395781,0.406774,0.419659,0.457498,0.49084
Australia,1.A.1 Energy Industries,1.A.1.c.iii Other Energy Industries,CO₂,kt,1290.7,1290.7,1313.83,1326.77,1427.72,1420.17,1391.83,1479.32,1579.2,1783.52,1924.98,1995.7,2035.96,2146.47,4036.71,4532.05,5306.67,4826.29,4505.99,4615.84,4967.63,5120.42,5813.19,6939.83,7717.76,7762.51,7320.11,7737.25,8060.52,8788.9,9446.38
Australia,1.A.1 Energy Industries,1.A.1.c.iii Other Energy Industries,N₂O,kt,0.0512395,0.0512395,0.0532292,0.0551687,0.0582427,0.0586502,0.059984,0.0628951,0.0694519,0.0792195,0.0817209,0.0859495,0.0867618,0.0897712,0.186117,0.209969,0.248485,0.223365,0.212487,0.21806,0.236353,0.246591,0.282487,0.341542,0.380985,0.389053,0.370059,0.380776,0.405912,0.440744,0.474104
